state,district,year,education_literacy_rate,healthcare_doctor_patient_ratio,infrastructure_road_density,digital_financial_inclusion_rate
Jammu And Kashmir,Kupwara,2020,54.65,36.52,53.99,41.02
Jammu And Kashmir,Kupwara,2021,57.76,41.5,60.21,48.48
Jammu And Kashmir,Kupwara,2022,54.47,36.24,53.64,40.6
Jammu And Kashmir,Kupwara,2023,56.48,39.46,57.66,45.42
Jammu And Kashmir,Kupwara,2024,55.6,38.05,55.91,43.31
Jammu And Kashmir,Kupwara,2025,57.41,40.95,59.52,47.65
Jammu And Kashmir,Kupwara,2026,56.73,39.85,58.15,46.01
Jammu And Kashmir,Badgam,2020,49.08,51.8,57.12,49.36
Jammu And Kashmir,Badgam,2021,49.31,52.16,57.58,49.91
Jammu And Kashmir,Badgam,2022,48.64,51.1,56.24,48.31
Jammu And Kashmir,Badgam,2023,47.89,49.88,54.72,46.49
Jammu And Kashmir,Badgam,2024,53.79,59.32,66.53,60.65
Jammu And Kashmir,Badgam,2025,52.54,57.33,64.04,57.67
Jammu And Kashmir,Badgam,2026,51.16,55.13,61.28,54.36
Jammu And Kashmir,Leh(Ladakh),2020,75.81,43.42,42.83,38.78
Jammu And Kashmir,Leh(Ladakh),2021,76.04,43.8,43.31,39.35
Jammu And Kashmir,Leh(Ladakh),2022,77.09,45.48,45.4,41.87
Jammu And Kashmir,Leh(Ladakh),2023,75.65,43.17,42.52,38.41
Jammu And Kashmir,Leh(Ladakh),2024,79.47,49.29,50.17,47.58
Jammu And Kashmir,Leh(Ladakh),2025,79.36,49.11,49.94,47.31
Jammu And Kashmir,Leh(Ladakh),2026,80.39,50.76,52.0,49.79
Jammu And Kashmir,Kargil,2020,65.62,43.65,41.61,32.43
Jammu And Kashmir,Kargil,2021,64.32,41.57,39.01,29.31
Jammu And Kashmir,Kargil,2022,65.22,43.01,40.81,31.46
Jammu And Kashmir,Kargil,2023,67.63,46.88,45.64,37.27
Jammu And Kashmir,Kargil,2024,68.57,48.38,47.52,39.52
Jammu And Kashmir,Kargil,2025,69.5,49.87,49.38,41.76
Jammu And Kashmir,Kargil,2026,69.73,50.23,49.83,42.29
Jammu And Kashmir,Punch,2020,59.66,18.88,52.21,36.11
Jammu And Kashmir,Punch,2021,57.71,15.77,48.31,31.44
Jammu And Kashmir,Punch,2022,57.78,15.89,48.46,31.62
Jammu And Kashmir,Punch,2023,61.34,21.58,55.58,40.16
Jammu And Kashmir,Punch,2024,61.66,22.09,56.22,40.93
Jammu And Kashmir,Punch,2025,65.06,27.53,63.01,49.08
Jammu And Kashmir,Punch,2026,62.18,22.92,57.25,42.17
Jammu And Kashmir,Rajouri,2020,63.04,18.5,57.68,45.97
Jammu And Kashmir,Rajouri,2021,60.23,14.01,52.06,39.23
Jammu And Kashmir,Rajouri,2022,62.49,17.62,56.57,44.64
Jammu And Kashmir,Rajouri,2023,62.32,17.36,56.25,44.25
Jammu And Kashmir,Rajouri,2024,65.39,22.27,62.39,51.62
Jammu And Kashmir,Rajouri,2025,66.11,23.42,63.82,53.34
Jammu And Kashmir,Rajouri,2026,61.27,15.67,54.14,41.72
Jammu And Kashmir,Kathua,2020,66.46,17.43,57.58,49.38
Jammu And Kashmir,Kathua,2021,69.48,22.26,63.62,56.63
Jammu And Kashmir,Kathua,2022,68.98,21.46,62.61,55.43
Jammu And Kashmir,Kathua,2023,69.34,22.04,63.33,56.29
Jammu And Kashmir,Kathua,2024,71.84,26.05,68.34,62.3
Jammu And Kashmir,Kathua,2025,71.34,25.24,67.34,61.1
Jammu And Kashmir,Kathua,2026,74.2,29.82,73.06,67.96
Jammu And Kashmir,Baramula,2020,56.45,47.45,57.99,47.02
Jammu And Kashmir,Baramula,2021,59.68,52.62,64.45,54.78
Jammu And Kashmir,Baramula,2022,59.06,51.62,63.21,53.28
Jammu And Kashmir,Baramula,2023,58.04,50.0,61.18,50.85
Jammu And Kashmir,Baramula,2024,60.2,53.44,65.48,56.02
Jammu And Kashmir,Baramula,2025,59.97,53.07,65.02,55.46
Jammu And Kashmir,Baramula,2026,59.04,51.6,63.18,53.25
Jammu And Kashmir,Bandipore,2020,53.2,52.12,57.93,49.09
Jammu And Kashmir,Bandipore,2021,54.07,53.51,59.68,51.19
